    energy      energy-dH0       rate(s-1)     lifetime(s)
   15860.0     5193.6      3.480761e5     2.872935e-6
   15870.0     5203.6      3.513266e5     2.846354e-6
   15880.0     5213.6      3.546021e5     2.820062e-6
   15890.0     5223.6      3.579026e5     2.794056e-6
   15900.0     5233.6      3.612283e5     2.768332e-6
   15910.0     5243.6      3.645794e5     2.742887e-6
   15920.0     5253.6      3.679560e5     2.717716e-6
   15930.0     5263.6      3.713582e5     2.692818e-6
   15940.0     5273.6      3.747864e5     2.668187e-6
   15950.0     5283.6      3.782404e5     2.643821e-6
   15960.0     5293.6      3.817205e5     2.619718e-6
   15970.0     5303.6      3.852270e5     2.595872e-6
   15980.0     5313.6      3.887598e5     2.572282e-6
   15990.0     5323.6      3.923193e5     2.548944e-6
   16000.0     5333.6      3.959055e5     2.525855e-6
   16010.0     5343.6      3.995186e5     2.503012e-6
   16020.0     5353.6      4.031587e5     2.480413e-6
   16030.0     5363.6      4.068260e5     2.458053e-6
   16040.0     5373.6      4.105207e5     2.435930e-6
